order_id,queue_no,customer_name,member_id,menu_name,drink_type,size,topping,sweetness_level,receive_type,payment_method,subtotal,price,wait_minutes,status
1,Q001,ลีโอ สายทอง,,อเมริกาโน่,เย็น,M,ไข่มุก,0%,ทานที่ร้าน,บัตร,65,65.0,15,เสร็จสิ้น
2,Q002,ลีโอ รักเรียน,M026,ลาเต้,ร้อน,L,ครีมชีส,100%,กลับบ้าน,บัตร,90,85.5,12,เสร็จสิ้น
3,Q003,นิโคล มั่นคง,M018,คาปูชิโน่,ปั่น,S,ไม่มี,50%,ทานที่ร้าน,บัตร,60,57.0,3,เสร็จสิ้น
4,Q004,ลูคัส มั่นคง,M047,มัทฉะลาเต้,เย็น,M,วิปครีม,0%,กลับบ้าน,เงินสด,80,76.0,2,เสร็จสิ้น
5,Q005,อเล็กซ์ รักเรียน,,มัทฉะลาเต้,ปั่น,S,ไม่มี,75%,ทานที่ร้าน,บัตร,60,60.0,11,เสร็จสิ้น
6,Q006,คลาร่า เจริญพร,,บลูฮาวายโซดา,เย็น,M,ครีมชีส,75%,ทานที่ร้าน,QR Code,75,75.0,6,เสร็จสิ้น
7,Q007,ลูคัส มั่นคง,M004,นมสด,ร้อน,L,ครีมชีส,75%,ทานที่ร้าน,บัตร,80,76.0,10,เสร็จสิ้น
8,Q008,ลีโอ เจริญพร,M039,บลูฮาวายโซดา,เย็น,M,เจลลี่,25%,ทานที่ร้าน,เงินสด,60,57.0,2,เสร็จสิ้น
9,Q009,มายา เจริญพร,,มัทฉะลาเต้,ปั่น,M,ไม่มี,0%,กลับบ้าน,QR Code,70,70.0,11,เสร็จสิ้น
10,Q010,อเล็กซ์ มั่นคง,M053,มัทฉะลาเต้,เย็น,M,เจลลี่,50%,ทานที่ร้าน,บัตร,70,66.5,5,เสร็จสิ้น
11,Q011,อเล็กซ์ วงศ์สว่าง,M060,เอสเพรสโซ่,เย็น,S,ไม่มี,25%,ทานที่ร้าน,เงินสด,55,52.25,16,เสร็จสิ้น
12,Q012,เจสซี่ สายทอง,M031,มัทฉะลาเต้,ปั่น,L,เจลลี่,100%,กลับบ้าน,บัตร,85,80.75,3,เสร็จสิ้น
13,Q013,นิโคล ใจดี,M021,บลูฮาวายโซดา,ร้อน,M,วิปครีม,0%,ทานที่ร้าน,QR Code,65,61.75,16,เสร็จสิ้น
14,Q014,อเล็กซ์ รักเรียน,,นมสด,ร้อน,S,ครีมชีส,25%,กลับบ้าน,เงินสด,60,60.0,9,เสร็จสิ้น
