member_id,member_name,points
M001,นิโคล รุ่งเรือง,6
M002,ลูคัส สายทอง,5
M003,มายา สายทอง,12
M004,ลูคัส มั่นคง,4
M005,เจสซี่ วงศ์สว่าง,1
M006,มายา วงศ์สว่าง,14
M007,คลาร่า วงศ์สว่าง,12
M008,มายา วงศ์สว่าง,5
M009,นิโคล เจริญพร,8
M010,ลูคัส มั่นคง,7
M011,เจสซี่ ใจดี,6
M012,อเล็กซ์ สายทอง,2
M013,คลาร่า รักเรียน,1
M014,ลูคัส รุ่งเรือง,10
M015,นิโคล รุ่งเรือง,3
M016,นิโคล รุ่งเรือง,3
M017,มายา รักเรียน,1
M018,นิโคล มั่นคง,13
M019,ลูคัส มั่นคง,5
M020,นิโคล รุ่งเรือง,4
M021,นิโคล ใจดี,9
M022,ลีโอ รักเรียน,9
M023,อเล็กซ์ รุ่งเรือง,7
M024,ลูคัส มั่นคง,11
M025,คลาร่า เจริญพร,2
M026,ลีโอ รักเรียน,5
M027,เจสซี่ รักเรียน,7
M028,อเล็กซ์ ใจดี,8
M029,นิโคล เจริญพร,8
M030,ลีโอ วงศ์สว่าง,4
M031,เจสซี่ สายทอง,4
M032,มายา เจริญพร,7
M033,มายา มั่นคง,1
M034,ลีโอ วงศ์สว่าง,11
M035,นิโคล เจริญพร,11
M036,ลีโอ มั่นคง,9
M037,ลีโอ วงศ์สว่าง,5
M038,ลูคัส สายทอง,7
M039,ลีโอ เจริญพร,4
M040,นิโคล รุ่งเรือง,1
M041,ลีโอ สายทอง,6
M042,อเล็กซ์ มั่นคง,2
M043,มายา ใจดี,1
M044,คลาร่า วงศ์สว่าง,2
M045,อเล็กซ์ รักเรียน,3
M046,เจสซี่ รุ่งเรือง,8
M047,ลูคัส มั่นคง,10
M048,ลีโอ รุ่งเรือง,8
M049,ลูคัส เจริญพร,5
M050,คลาร่า มั่นคง,3
M051,ลูคัส รุ่งเรือง,1
M052,คลาร่า ใจดี,7
M053,อเล็กซ์ มั่นคง,2
M054,ลีโอ ใจดี,3
M055,นิโคล รุ่งเรือง,11
M056,คลาร่า วงศ์สว่าง,3
M057,คลาร่า รุ่งเรือง,7
M058,เจสซี่ รักเรียน,7
M059,ลีโอ สายทอง,4
M060,อเล็กซ์ วงศ์สว่าง,5
